Function,Calls,Total Time,Per Call,Cumulative Time,Per Call (Cumulative)
c:\Users\birik\github\SOGA\src\ASGMTListener.py:52(exitSymvars),106,106,1.39e-05,1.311320754716981e-07,1.39e-05,1.311320754716981e-07
c:\Users\birik\github\SOGA\src\ASGMTListener.py:57(enterIdd),12,12,1.6000000000000001e-06,1.3333333333333334e-07,1.6000000000000001e-06,1.3333333333333334e-07
c:\Users\birik\github\SOGA\src\ASGMTListener.py:61(exitIdd),12,12,1.8000000000000001e-06,1.5000000000000002e-07,1.8000000000000001e-06,1.5000000000000002e-07
c:\Users\birik\github\SOGA\src\ASGMTListener.py:66(enterGm),62,62,7.9e-06,1.2741935483870968e-07,7.9e-06,1.2741935483870968e-07
c:\Users\birik\github\SOGA\src\ASGMTListener.py:70(exitGm),62,62,7.7e-06,1.241935483870968e-07,7.7e-06,1.241935483870968e-07
c:\Users\birik\github\SOGA\src\ASGMTListener.py:75(enterList),186,186,2.26e-05,1.2150537634408603e-07,2.26e-05,1.2150537634408603e-07
c:\Users\birik\github\SOGA\src\ASGMTListener.py:79(exitList),186,186,2.1700000000000002e-05,1.1666666666666668e-07,2.1700000000000002e-05,1.1666666666666668e-07
c:\Users\birik\github\SOGA\src\TRUNCLexer.py:103(__init__),88,88,0.0007249,8.2375e-06,0.0034211000000000003,3.8876136363636364e-05
c:\Users\birik\github\SOGA\src\ASGMTLexer.py:89(__init__),62,62,0.0005281,8.51774193548387e-06,0.0024284000000000003,3.9167741935483875e-05
c:\Users\birik\github\SOGA\src\TRUNCParser.py:440(enterRule),88,88,0.00010680000000000001,1.2136363636363638e-06,0.0006731,7.648863636363637e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:444(exitRule),88,88,7.77e-05,8.829545454545455e-07,0.00020930000000000002,2.378409090909091e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:517(enterRule),88,88,0.0001296,1.4727272727272728e-06,0.0038914,4.4220454545454546e-05
c:\Users\birik\github\SOGA\src\TRUNCParser.py:521(exitRule),88,88,7.500000000000001e-05,8.522727272727274e-07,0.0001179,1.3397727272727274e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:582(enterRule),88,88,6.620000000000001e-05,7.522727272727274e-07,9.84e-05,1.1181818181818182e-06
c:\Users\birik\github\SOGA\src\TRUNCParser.py:586(exitRule),88,88,6.330000000000001e-05,7.193181818181819e-07,8.94e-05,1.015909090909091e-06
